,index,name,online_order,book_table,rating,votes,location,rest_type,approx_cost,type
0,0,Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,800.00,Buffet
1,1,Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,800.00,Buffet
2,2,San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining",800.00,Buffet
3,3,Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Quick Bites,300.00,Buffet
4,4,Grand Village,No,No,3.8,166,Basavanagudi,Casual Dining,600.00,Buffet
5,5,Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,600.00,Buffet
6,6,Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,800.00,Buffet
7,7,Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe",600.00,Cafes
8,9,Smacznego,Yes,No,4.2,504,Banashankari,Cafe,550.00,Cafes
9,10,CafDown The Alley,Yes,No,4.1,402,Banashankari,Cafe,500.00,Cafes
10,11,Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,600.00,Cafes
11,12,The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,500.00,Cafes
12,13,Caf-Eleven,No,No,4,424,Banashankari,Cafe,450.00,Cafes
13,14,San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining",800.00,Cafes
14,15,Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,650.00,Cafes
15,16,Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,800.00,Cafes
16,17,Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,700.00,Cafes
17,18,T3H Cafe,No,No,3.9,93,Banashankari,Cafe,300.00,Cafes
18,19,360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,400.00,Cafes
19,20,The Vintage Cafe,Yes,No,3,62,Banashankari,Cafe,400.00,Cafes
20,21,Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,500.00,Cafes
21,22,Cafe Coffee Day,No,No,3.6,28,Banashankari,Cafe,900.00,Cafes
22,23,My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe",600.00,Cafes
23,24,Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,300.00,Cafes
24,25,CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,600.00,Cafes
25,26,Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites",200.00,Cafes
26,27,Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,500.00,Cafes
27,28,Cuppa,No,No,3.3,23,Banashankari,Cafe,550.00,Cafes
28,29,Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe",550.00,Cafes
29,30,Redberrys,Yes,No,4,219,Basavanagudi,Cafe,600.00,Cafes
30,32,Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,500.00,Delivery
31,33,Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,750.00,Delivery
32,35,Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,650.00,Delivery
33,36,Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,400.00,Delivery
34,37,Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,600.00,Delivery
35,39,Maruthi Davangere Benne Dosa,Yes,No,4,17,Banashankari,Quick Bites,150.00,Delivery
36,40,Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,200.00,Delivery
37,41,Havyaka Mess,No,No,3.9,28,Banashankari,Mess,300.00,Delivery
38,42,McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,500.00,Delivery
39,43,Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,800.00,Delivery
40,45,Hotboxit,No,No,3.8,36,Banashankari,Delivery,400.00,Delivery
41,46,Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,300.00,Delivery
42,47,Recipe,Yes,No,4,804,Kumaraswamy Layout,Casual Dining,450.00,Delivery
43,48,Beijing Bites,Yes,No,3.7,679,Rajarajeshwari Nagar,Casual Dining,850.00,Delivery
44,49,Tasty Bytes,Yes,No,3.1,245,Kumaraswamy Layout,Quick Bites,300.00,Delivery
45,50,Petoo,No,No,3.7,21,Banashankari,Quick Bites,450.00,Delivery
46,51,Shree Cool Point,Yes,No,4.1,28,Vijay Nagar,Quick Bites,150.00,Delivery
47,52,Corner House Ice Cream,No,No,4.3,345,Banashankari,Dessert Parlor,400.00,Delivery
48,53,Biryanis And More,Yes,No,4,618,Jayanagar,Casual Dining,750.00,Delivery
49,54,Roving Feast,No,No,4,1047,Banashankari,Quick Bites,450.00,Delivery
50,55,FreshMenu,Yes,No,3.9,627,Banashankari,Delivery,450.00,Delivery
51,56,Banashankari Donne Biriyani,Yes,No,3.8,104,Banashankari,Quick Bites,300.00,Delivery
52,58,Five Star Chicken,No,No,3.6,55,Banashankari,Quick Bites,200.00,Delivery
53,59,XO Belgian Waffle,Yes,No,3.7,17,Banashankari,Dessert Parlor,400.00,Delivery
54,61,Goa 0 Km,Yes,Yes,3.6,163,Kumaraswamy Layout,Casual Dining,800.00,Delivery
55,62,Chinese Kitchen,Yes,No,3.8,58,Basavanagudi,Quick Bites,150.00,Delivery
56,63,1947,No,Yes,4,808,Banashankari,Casual Dining,850.00,Delivery
57,64,Cake of the Day,No,No,3.7,78,Banashankari,"Bakery, Dessert Parlor",150.00,Delivery
58,65,Kabab Magic,Yes,No,4.1,1720,Basavanagudi,Quick Bites,400.00,Delivery
59,66,Namma Brahmin's Idli,Yes,No,3.6,34,Jayanagar,Quick Bites,100.00,Delivery
60,67,Gustoes Beer House,No,No,4.1,868,Banashankari,Pub,1200.00,Delivery
61,68,Sugar Rush,No,No,3.8,39,Banashankari,Bakery,300.00,Delivery
62,69,Burger King,Yes,No,3.2,71,Basavanagudi,Quick Bites,600.00,Delivery
63,70,The Good Bowl,Yes,No,3.6,6,Banashankari,"Takeaway, Delivery",500.00,Delivery
